  QueueTimes | ServiceTimes | SojournTimes

       2.043 |        4.465 |        6.508
       1.244 |        4.554 |        5.798
       1.243 |        4.524 |        5.768
       1.256 |        4.544 |        5.800
       1.233 |        4.497 |        5.730
       1.232 |        4.503 |        5.735
       1.233 |        4.581 |        5.814
       1.191 |        4.539 |        5.729
       1.498 |        4.506 |        6.005
       4.309 |        4.458 |        8.767
       1.234 |        4.538 |        5.772
       1.192 |        4.547 |        5.738
       1.234 |        4.527 |        5.761
       4.476 |        4.485 |        8.961
       6.297 |        4.476 |       10.773
      10.829 |        4.445 |       15.275
      12.561 |        4.444 |       17.005
       1.247 |        4.526 |        5.773
       5.821 |        4.529 |       10.350
       1.195 |        4.515 |        5.710
       1.188 |        4.525 |        5.712
       2.930 |        4.522 |        7.452
       1.174 |        4.471 |        5.645
       1.230 |        4.493 |        5.723
       1.242 |        4.544 |        5.786
       5.910 |        4.496 |       10.406
       2.716 |        4.514 |        7.230
       1.200 |        4.491 |        5.691
       4.487 |        4.550 |        9.037
       1.763 |        4.408 |        6.171
       1.192 |        4.529 |        5.721
       1.230 |        4.565 |        5.795
       1.232 |        4.573 |        5.805
       1.240 |        4.551 |        5.790
       1.223 |        4.751 |        5.974
       1.287 |        4.653 |        5.940
       1.267 |        4.544 |        5.811
       1.236 |        4.503 |        5.738
       5.348 |        4.524 |        9.872
       2.313 |        4.455 |        6.768
       5.867 |        4.497 |       10.364
       1.221 |        4.493 |        5.714
       1.277 |        4.511 |        5.787
       1.231 |        4.494 |        5.725
       1.178 |        4.601 |        5.779
       1.167 |        4.528 |        5.695
       2.105 |        4.555 |        6.661
       1.159 |        4.543 |        5.702
       1.205 |        4.586 |        5.791
       4.349 |        4.481 |        8.830
       1.179 |        4.511 |        5.690
       1.196 |        4.505 |        5.701
       1.249 |        4.453 |        5.701
       1.218 |        4.530 |        5.748
       5.366 |        4.536 |        9.902
       1.229 |        4.546 |        5.775
       2.531 |        4.545 |        7.075
       3.305 |        4.536 |        7.840
       1.946 |        4.512 |        6.458
       1.216 |        4.509 |        5.726
       5.801 |        4.495 |       10.295
       1.224 |        4.538 |        5.762
       1.224 |        4.552 |        5.776
       2.514 |        4.509 |        7.023
       1.195 |        4.490 |        5.685
       1.857 |        4.524 |        6.380
       6.368 |        4.521 |       10.888
       4.335 |        4.467 |        8.802
       1.237 |        4.523 |        5.760
       2.607 |        4.490 |        7.097
       6.373 |        4.479 |       10.852
       2.877 |        4.554 |        7.432
       1.238 |        4.542 |        5.780
       1.237 |        4.591 |        5.828
       4.484 |        4.486 |        8.969
       1.259 |        4.518 |        5.777
       1.204 |        4.538 |        5.742
       1.595 |        4.483 |        6.078
       5.247 |        4.481 |        9.728
       1.248 |        4.527 |        5.776
       4.531 |        4.514 |        9.045
       1.251 |        4.574 |        5.826
       2.997 |        4.520 |        7.517
       1.291 |        4.955 |        6.246
       1.210 |        4.590 |        5.800
       4.919 |        4.516 |        9.436
       7.410 |        4.501 |       11.911
       7.573 |        4.442 |       12.014
       1.265 |        4.510 |        5.775
       1.245 |        4.521 |        5.766
       2.955 |        4.487 |        7.442
       1.183 |        4.590 |        5.774
       5.624 |        4.464 |       10.088
       1.212 |        4.504 |        5.716
       4.567 |        4.498 |        9.065
       1.227 |        4.573 |        5.800
       5.406 |        4.551 |        9.957
       1.235 |        4.536 |        5.771
       1.216 |        4.505 |        5.722
       1.194 |        4.532 |        5.726
       1.234 |        4.531 |        5.765
       1.229 |        4.520 |        5.748
       1.226 |        4.550 |        5.776
       1.709 |        4.497 |        6.206
       1.216 |        4.521 |        5.737
       1.288 |        4.522 |        5.810
       1.223 |        4.605 |        5.828
       1.198 |        4.629 |        5.827
       1.252 |        4.537 |        5.789
       1.280 |        4.561 |        5.841
       2.444 |        4.484 |        6.928
       1.264 |        4.596 |        5.861
       1.645 |        4.462 |        6.108
       1.263 |        4.557 |        5.820
       3.775 |        4.504 |        8.279
       1.240 |        4.538 |        5.778
       1.247 |        4.568 |        5.814
       5.851 |        4.554 |       10.405
       7.573 |        4.513 |       12.087
       6.937 |        4.490 |       11.427
       1.256 |        4.483 |        5.739
       1.249 |        4.573 |        5.822
       4.930 |        4.559 |        9.490
       1.261 |        4.518 |        5.779
       1.246 |        4.561 |        5.807
       4.674 |        4.522 |        9.196
       1.273 |        4.529 |        5.802
       1.251 |        4.575 |        5.826
       2.022 |        4.486 |        6.508
       1.224 |        4.551 |        5.775
       5.124 |        4.499 |        9.623
       1.197 |        4.558 |        5.755
       5.260 |        4.478 |        9.739
       1.263 |        4.584 |        5.847
       1.220 |        4.550 |        5.770
       1.256 |        4.533 |        5.789
       1.224 |        4.571 |        5.794
       1.252 |        4.572 |        5.824
       3.878 |        4.499 |        8.376
       1.284 |        4.504 |        5.788
       1.283 |        4.527 |        5.809
       1.259 |        4.533 |        5.792
       1.248 |        4.572 |        5.821
       3.132 |        4.510 |        7.642
       1.259 |        4.557 |        5.816
       1.213 |        4.562 |        5.775
       4.548 |        4.493 |        9.041
       5.234 |        4.465 |        9.699
       1.293 |        4.559 |        5.852
       1.189 |        4.625 |        5.814
       1.841 |        4.525 |        6.366
       5.414 |        4.500 |        9.914
       3.285 |        4.500 |        7.785
       2.216 |        4.460 |        6.675
       1.272 |        4.595 |        5.868
       1.250 |        4.543 |        5.793
       1.202 |        4.613 |        5.815
       4.222 |        4.549 |        8.771
       2.091 |        4.474 |        6.565
       1.199 |        4.555 |        5.754
       1.261 |        4.524 |        5.785
       1.264 |        4.531 |        5.794
       1.217 |        4.519 |        5.736
       1.238 |        4.531 |        5.769
       1.246 |        4.551 |        5.797
       1.247 |        4.511 |        5.758
       1.266 |        4.575 |        5.841
       2.535 |        4.490 |        7.025
       5.970 |        4.545 |       10.515
       4.917 |        4.496 |        9.413
       1.209 |        4.570 |        5.779
       2.160 |        4.498 |        6.658
       1.269 |        4.560 |        5.829
       3.911 |        4.488 |        8.399
       1.231 |        4.563 |        5.794
       2.459 |        4.542 |        7.001
       1.757 |        4.528 |        6.285
       3.524 |        4.433 |        7.956
       7.111 |        4.503 |       11.613
      10.007 |        4.476 |       14.483
       1.239 |        4.564 |        5.804
       1.250 |        4.548 |        5.798
       1.264 |        4.592 |        5.856
       1.242 |        4.560 |        5.802
       1.151 |        4.532 |        5.684
       1.218 |        4.551 |        5.769
       1.266 |        4.511 |        5.777
       4.480 |        4.581 |        9.061
       7.517 |        5.210 |       12.727
      12.689 |        4.524 |       17.213
       1.210 |        4.530 |        5.741
       1.204 |        4.580 |        5.784
       3.583 |        4.496 |        8.079
       1.224 |        4.504 |        5.729
       1.194 |        4.611 |        5.805
       4.640 |        4.774 |        9.415
       1.206 |        4.767 |        5.973
       1.208 |        4.682 |        5.890
       1.207 |        4.560 |        5.768
       1.224 |        4.538 |        5.762
       1.279 |        4.439 |        5.719
       1.229 |        4.532 |        5.761
       1.208 |        4.529 |        5.737
       1.230 |        4.565 |        5.795
       1.210 |        4.533 |        5.743
       1.494 |        4.510 |        6.004
       1.702 |        4.467 |        6.169
       1.208 |        4.446 |        5.655
       4.863 |        4.463 |        9.326
       6.951 |        4.473 |       11.424
       1.200 |        4.564 |        5.765
       2.288 |        4.527 |        6.814
       3.663 |        4.489 |        8.152
       4.438 |        4.487 |        8.925
       1.258 |        4.511 |        5.769
       1.249 |        4.537 |        5.786
       1.266 |        4.547 |        5.813
       1.232 |        4.534 |        5.766
       1.133 |        4.587 |        5.720
       1.821 |        4.532 |        6.353
       1.177 |        4.549 |        5.726
       1.156 |        4.532 |        5.688
       1.735 |        4.467 |        6.202
       4.693 |        4.497 |        9.190
       2.318 |        4.525 |        6.843
       1.941 |        4.490 |        6.431
       5.611 |        4.489 |       10.100
       1.186 |        4.542 |        5.728
       3.703 |        4.490 |        8.193
       1.195 |        4.596 |        5.791
       5.255 |        4.496 |        9.751
       6.536 |        4.455 |       10.991
       1.244 |        4.532 |        5.776
       4.760 |        4.512 |        9.272
       6.358 |        4.463 |       10.821
       1.237 |        4.547 |        5.784
       2.779 |        4.524 |        7.303
       4.790 |        4.467 |        9.257
       1.216 |        4.558 |        5.774
       1.229 |        4.552 |        5.782
       1.970 |        4.491 |        6.461
       1.200 |        4.507 |        5.707
       1.195 |        4.504 |        5.699
       1.241 |        4.529 |        5.770
       1.247 |        4.515 |        5.762
       1.239 |        4.561 |        5.800
       4.130 |        4.511 |        8.640
       1.192 |        4.541 |        5.734
       5.888 |        4.556 |       10.444
       1.264 |        4.528 |        5.792
       5.880 |        4.557 |       10.437
       9.045 |        4.422 |       13.468
       1.279 |        4.527 |        5.806
       1.256 |        4.548 |        5.804
       2.659 |        4.498 |        7.157
       1.265 |        4.548 |        5.813
       2.214 |        4.510 |        6.724
       1.290 |        4.523 |        5.813
       1.239 |        4.539 |        5.778
       1.256 |        4.521 |        5.777
       1.222 |        4.615 |        5.838
       1.213 |        4.455 |        5.669
       2.662 |        4.548 |        7.209
       2.578 |        4.537 |        7.115
       2.304 |        4.459 |        6.762
       1.237 |        5.667 |        6.904
       1.234 |        4.651 |        5.885
       1.239 |        4.547 |        5.785
       4.674 |        4.516 |        9.190
       4.667 |        4.470 |        9.137
       6.036 |        4.520 |       10.555
       5.792 |        4.516 |       10.308
       9.723 |        4.432 |       14.155
      13.268 |        4.423 |       17.691
       1.367 |        4.527 |        5.894
       1.222 |        4.524 |        5.746
       1.233 |        4.574 |        5.807
       1.163 |        4.541 |        5.703
       4.806 |        4.522 |        9.329
       5.591 |        4.492 |       10.083
       1.230 |        4.519 |        5.749
       1.212 |        4.538 |        5.750
       4.897 |        4.524 |        9.421
       1.218 |        4.488 |        5.706
       1.227 |        4.549 |        5.776
       4.249 |        4.512 |        8.761
       1.216 |        4.531 |        5.747
       1.381 |        4.519 |        5.899
       1.182 |        4.670 |        5.852
       3.296 |        4.932 |        8.228
       2.655 |        4.794 |        7.449
       3.441 |        4.740 |        8.181
       2.826 |        4.451 |        7.277
       1.239 |        4.570 |        5.809
       1.259 |        4.525 |        5.784
       1.237 |        4.569 |        5.807
       5.126 |        4.488 |        9.615
       8.671 |        4.490 |       13.161
       5.652 |        4.462 |       10.114
       6.962 |        4.475 |       11.437
       1.266 |        4.520 |        5.786
       1.241 |        4.586 |        5.828
       2.709 |        4.508 |        7.217
       3.714 |        4.519 |        8.234
       2.282 |        4.484 |        6.766
       4.477 |        4.477 |        8.954
       1.247 |        4.585 |        5.832
       1.244 |        4.505 |        5.749
       1.236 |        4.530 |        5.765
       1.337 |        4.495 |        5.832
       1.224 |        4.543 |        5.766
       1.227 |        4.513 |        5.739
       1.247 |        4.547 |        5.794
       5.239 |        4.521 |        9.760
       6.109 |        4.493 |       10.601
       1.281 |        4.525 |        5.806
       5.264 |        4.502 |        9.766
       5.228 |        4.538 |        9.766
       4.896 |        4.478 |        9.374
       7.617 |        4.552 |       12.169
       1.215 |        4.535 |        5.750
       2.435 |        4.485 |        6.920
       5.553 |        4.478 |       10.031
       1.225 |        4.579 |        5.804
       4.623 |        4.504 |        9.127
       6.292 |        4.467 |       10.759
       9.327 |        4.532 |       13.859
       3.216 |        4.493 |        7.709
       3.441 |        4.436 |        7.877
       1.201 |        4.437 |        5.638
       1.140 |        4.504 |        5.644
       2.022 |        4.444 |        6.466
       1.158 |        4.518 |        5.676
       1.194 |        4.568 |        5.762
       1.178 |        4.532 |        5.710
       1.165 |        4.534 |        5.699
       1.181 |        4.545 |        5.727
       3.922 |        4.562 |        8.484
       5.475 |        4.491 |        9.966
       6.340 |        4.518 |       10.858
       5.937 |        4.474 |       10.411
       6.442 |        4.439 |       10.882
       1.228 |        4.505 |        5.734
       1.193 |        4.560 |        5.753
       1.170 |        4.440 |        5.610
       1.252 |        4.502 |        5.754
       2.080 |        4.423 |        6.503
       1.199 |        4.559 |        5.758
       3.773 |        4.557 |        8.330
       6.092 |        4.462 |       10.555
      10.602 |        4.501 |       15.103
      11.690 |        4.504 |       16.193
      16.367 |        4.504 |       20.871
       3.189 |        4.547 |        7.736
       2.460 |        4.482 |        6.942
       3.735 |        4.475 |        8.210
       1.177 |        4.549 |        5.726
       1.160 |        4.771 |        5.932
       1.190 |        4.634 |        5.824
       1.170 |        4.534 |        5.703
       4.587 |        4.536 |        9.123
       4.185 |        4.460 |        8.646
       1.233 |        4.537 |        5.770
       4.298 |        4.509 |        8.807
       1.264 |        4.528 |        5.792
       1.214 |        4.512 |        5.726
       1.215 |        4.512 |        5.727
       5.077 |        4.522 |        9.599
       5.296 |        4.500 |        9.796
       1.245 |        4.583 |        5.828
       5.015 |        4.490 |        9.505
       1.213 |        4.498 |        5.711
       1.233 |        4.513 |        5.746
       3.477 |        4.555 |        8.031
       4.665 |        4.469 |        9.134
       7.417 |        4.515 |       11.932
       5.167 |        4.518 |        9.685
       3.841 |        4.469 |        8.309
       3.979 |        4.467 |        8.446
       1.234 |        4.533 |        5.767
       1.226 |        4.547 |        5.773
       1.242 |        4.536 |        5.778
       1.232 |        4.548 |        5.780
       4.114 |        4.482 |        8.596
       1.236 |        4.529 |        5.765
       1.246 |        4.499 |        5.745
       1.219 |        4.534 |        5.753
       1.246 |        4.556 |        5.803
