  QueueTimes | ServiceTimes | SojournTimes

    3494.671 |        5.313 |     3499.983
    3494.650 |        5.412 |     3500.062
    3498.925 |        5.229 |     3504.154
    3498.923 |        5.600 |     3504.523
    3502.793 |        5.432 |     3508.225
    3503.279 |        5.354 |     3508.633
    3507.946 |        5.180 |     3513.125
    3505.438 |        5.416 |     3510.854
    3509.703 |        5.318 |     3515.021
    3508.923 |        5.308 |     3514.231
    3513.148 |        5.290 |     3518.438
    3513.537 |        5.086 |     3518.623
    3517.537 |        5.922 |     3523.459
    3518.009 |        5.671 |     3523.680
    3522.557 |        5.554 |     3528.111
    3522.191 |        5.596 |     3527.787
    3521.491 |        5.177 |     3526.669
    3516.274 |        5.254 |     3521.528
    3518.876 |        5.236 |     3524.112
    3517.446 |        5.248 |     3522.694
    3521.191 |        5.210 |     3526.401
    3518.753 |        5.335 |     3524.088
    3522.299 |        5.146 |     3527.445
    3520.916 |        5.140 |     3526.056
    3523.283 |        5.155 |     3528.438
    3523.370 |        5.169 |     3528.538
    3525.615 |        5.179 |     3530.794
    3525.364 |        5.170 |     3530.534
    3526.986 |        5.172 |     3532.158
    3526.631 |        5.269 |     3531.900
    3531.252 |        5.287 |     3536.539
    3529.140 |        5.299 |     3534.439
    3533.867 |        5.150 |     3539.017
    3533.927 |        5.212 |     3539.139
    3538.458 |        5.208 |     3543.666
    3538.498 |        5.184 |     3543.682
    3541.771 |        5.168 |     3546.939
    3541.906 |        5.222 |     3547.129
    3546.502 |        5.178 |     3551.680
    3544.268 |        5.200 |     3549.468
    3546.809 |        5.232 |     3552.041
    3546.621 |        5.265 |     3551.886
    3549.731 |        5.186 |     3554.918
    3549.848 |        5.238 |     3555.086
    3554.312 |        5.213 |     3559.525
    3552.730 |        5.220 |     3557.950
    3551.759 |        5.216 |     3556.975
    3549.060 |        5.317 |     3554.377
    3553.596 |        5.154 |     3558.750
    3549.050 |        5.183 |     3554.233
    3551.599 |        5.249 |     3556.849
    3551.300 |        5.244 |     3556.544
    3554.795 |        5.229 |     3560.024
    3554.813 |        5.251 |     3560.064
    3559.187 |        5.161 |     3564.349
    3558.601 |        5.251 |     3563.852
    3560.984 |        5.170 |     3566.154
    3561.340 |        5.208 |     3566.547
    3565.676 |        5.233 |     3570.909
    3564.013 |        5.201 |     3569.214
    3567.769 |        5.133 |     3572.903
    3565.105 |        5.176 |     3570.281
    3570.008 |        5.135 |     3575.144
    3566.594 |        5.209 |     3571.804
    3569.200 |        5.270 |     3574.470
    3569.428 |        5.375 |     3574.803
    3573.999 |        5.020 |     3579.020
    3574.382 |        5.441 |     3579.822
    3577.930 |        5.189 |     3583.120
    3577.324 |        5.526 |     3582.850
    3579.121 |        5.233 |     3584.354
    3578.415 |        5.456 |     3583.871
    3579.002 |        5.227 |     3584.229
    3580.308 |        5.548 |     3585.857
    3581.960 |        5.181 |     3587.141
    3583.548 |        5.398 |     3588.946
    3583.143 |        5.144 |     3588.287
    3584.104 |        5.398 |     3589.502
    3585.812 |        5.081 |     3590.893
    3588.051 |        5.279 |     3593.330
    3589.996 |        5.278 |     3595.274
    3592.454 |        5.517 |     3597.971
    3594.865 |        5.270 |     3600.135
    3594.980 |        5.610 |     3600.590
    3597.306 |        5.322 |     3602.629
    3599.486 |        5.561 |     3605.047
    3592.717 |        5.411 |     3598.128
    3595.225 |        5.405 |     3600.630
    3596.108 |        5.217 |     3601.325
    3595.854 |        5.449 |     3601.303
    3596.875 |        5.337 |     3602.211
    3596.401 |        5.346 |     3601.747
    3598.096 |        5.166 |     3603.262
    3601.348 |        5.390 |     3606.738
    3602.755 |        5.243 |     3607.999
    3605.480 |        5.427 |     3610.906
    3603.641 |        5.246 |     3608.887
    3603.434 |        5.513 |     3608.946
    3602.480 |        5.143 |     3607.622
    3606.534 |        5.311 |     3611.846
    3596.598 |        4.930 |     3601.528
    3594.454 |        5.174 |     3599.628
    3595.041 |        4.933 |     3599.973
    3595.875 |        5.135 |     3601.010
    3595.080 |        5.102 |     3600.183
    3598.716 |        5.055 |     3603.770
    3598.834 |        5.124 |     3603.958
    3601.741 |        5.106 |     3606.846
    3600.728 |        5.185 |     3605.913
    3604.130 |        5.093 |     3609.223
    3604.140 |        5.090 |     3609.231
    3607.587 |        5.035 |     3612.622
    3604.177 |        5.090 |     3609.267
    3607.554 |        5.037 |     3612.591
    3606.913 |        5.097 |     3612.010
    3611.264 |        5.130 |     3616.393
    3610.432 |        5.140 |     3615.571
    3614.004 |        5.093 |     3619.097
    3612.975 |        5.107 |     3618.082
    3617.214 |        5.053 |     3622.267
    3613.873 |        5.083 |     3618.956
    3616.361 |        5.081 |     3621.442
    3616.738 |        5.067 |     3621.804
    3618.848 |        5.013 |     3623.861
    3613.722 |        5.081 |     3618.803
    3618.137 |        4.996 |     3623.133
    3613.632 |        5.036 |     3618.668
    3618.153 |        5.081 |     3623.235
    3616.345 |        5.115 |     3621.460
    3619.794 |        5.080 |     3624.873
    3619.410 |        5.510 |     3624.920
    3615.655 |        5.260 |     3620.915
    3614.775 |        5.456 |     3620.231
    3616.529 |        5.230 |     3621.759
    3617.008 |        5.335 |     3622.343
    3617.155 |        5.282 |     3622.437
    3617.855 |        5.374 |     3623.229
    3620.336 |        5.207 |     3625.544
    3615.740 |        5.415 |     3621.155
    3619.551 |        5.350 |     3624.902
    3618.284 |        5.371 |     3623.655
    3619.602 |        5.542 |     3625.143
    3618.936 |        5.407 |     3624.343
    3623.193 |        5.313 |     3628.506
    3614.246 |        5.372 |     3619.618
    3617.124 |        5.301 |     3622.426
    3618.266 |        5.368 |     3623.634
    3620.381 |        5.293 |     3625.674
    3621.329 |        5.389 |     3626.718
    3625.406 |        5.430 |     3630.836
    3623.124 |        5.557 |     3628.682
    3626.203 |        5.255 |     3631.458
    3626.199 |        5.373 |     3631.572
    3628.309 |        5.393 |     3633.702
    3629.601 |        5.380 |     3634.981
    3626.531 |        5.360 |     3631.891
    3620.767 |        5.612 |     3626.379
    3622.205 |        5.375 |     3627.581
    3623.988 |        5.413 |     3629.401
    3623.380 |        5.412 |     3628.792
    3621.222 |        5.576 |     3626.798
    3622.170 |        5.314 |     3627.484
    3622.213 |        5.407 |     3627.620
    3625.557 |        5.487 |     3631.045
    3627.292 |        5.569 |     3632.861
    3629.204 |        5.301 |     3634.506
    3630.744 |        5.471 |     3636.215
    3634.056 |        5.402 |     3639.459
    3636.357 |        5.544 |     3641.901
    3639.624 |        5.317 |     3644.941
    3641.401 |        5.395 |     3646.795
    3642.577 |        5.377 |     3647.955
    3644.881 |        5.417 |     3650.298
    3647.448 |        5.446 |     3652.894
    3647.832 |        5.419 |     3653.251
    3648.263 |        5.417 |     3653.680
    3647.362 |        5.532 |     3652.894
    3647.308 |        5.289 |     3652.597
    3648.938 |        5.474 |     3654.412
    3651.382 |        5.481 |     3656.863
    3651.939 |        5.566 |     3657.505
    3651.422 |        5.453 |     3656.874
    3653.043 |        5.376 |     3658.419
    3652.576 |        5.328 |     3657.904
    3654.659 |        5.549 |     3660.207
    3656.243 |        5.380 |     3661.623
    3658.097 |        5.492 |     3663.590
    3655.960 |        5.437 |     3661.397
    3655.949 |        5.366 |     3661.315
    3656.100 |        5.334 |     3661.433
    3656.581 |        5.522 |     3662.103
    3656.774 |        5.318 |     3662.092
    3659.195 |        5.484 |     3664.679
    3659.826 |        5.493 |     3665.319
    3662.544 |        5.356 |     3667.900
    3662.470 |        5.354 |     3667.824
    3664.568 |        5.462 |     3670.030
    3666.365 |        5.315 |     3671.680
    3667.478 |        5.537 |     3673.014
    3663.755 |        5.457 |     3669.212
    3666.136 |        5.476 |     3671.612
    3665.479 |        5.423 |     3670.903
    3666.926 |        5.465 |     3672.390
    3667.841 |        5.331 |     3673.172
    3670.803 |        5.510 |     3676.313
    3672.291 |        5.408 |     3677.699
    3675.298 |        5.434 |     3680.733
    3675.410 |        5.321 |     3680.731
    3677.179 |        5.441 |     3682.620
    3676.512 |        5.407 |     3681.919
    3680.249 |        5.502 |     3685.751
    3676.916 |        5.381 |     3682.297
    3678.842 |        5.408 |     3684.250
    3679.848 |        5.313 |     3685.160
    3678.692 |        5.467 |     3684.159
    3679.799 |        5.391 |     3685.190
    3683.733 |        5.512 |     3689.245
    3684.010 |        5.368 |     3689.378
    3688.219 |        5.369 |     3693.588
    3685.605 |        5.175 |     3690.780
    3689.456 |        5.325 |     3694.781
    3686.514 |        5.251 |     3691.765
    3685.748 |        5.226 |     3690.975
    3682.634 |        5.125 |     3687.759
    3685.120 |        5.385 |     3690.504
    3685.340 |        5.277 |     3690.617
    3688.853 |        5.145 |     3693.999
    3689.169 |        5.102 |     3694.271
    3693.913 |        5.132 |     3699.046
    3692.644 |        5.169 |     3697.813
    3693.552 |        5.194 |     3698.746
    3693.227 |        5.296 |     3698.523
    3697.784 |        5.213 |     3702.997
    3698.034 |        5.234 |     3703.268
    3702.469 |        5.165 |     3707.634
    3701.089 |        5.208 |     3706.297
    3700.323 |        5.274 |     3705.597
    3700.403 |        5.287 |     3705.691
    3704.160 |        5.215 |     3709.375
    3704.532 |        5.217 |     3709.749
    3709.390 |        5.170 |     3714.560
    3707.624 |        5.222 |     3712.847
    3710.072 |        5.126 |     3715.198
    3699.294 |        5.165 |     3704.459
    3699.770 |        5.254 |     3705.024
    3699.594 |        5.354 |     3704.948
    3702.471 |        5.203 |     3707.674
    3702.739 |        5.121 |     3707.860
    3704.716 |        5.157 |     3709.873
    3704.146 |        5.247 |     3709.393
    3707.463 |        5.188 |     3712.651
    3707.367 |        5.198 |     3712.565
    3711.068 |        5.197 |     3716.265
    3711.145 |        5.239 |     3716.383
    3715.290 |        5.167 |     3720.457
