  QueueTimes | ServiceTimes | SojournTimes

       1.036 |        1.221 |        2.257
       2.046 |        1.032 |        3.078
       2.112 |        1.023 |        3.136
       2.686 |        1.004 |        3.689
       2.533 |        0.979 |        3.513
       3.218 |        0.987 |        4.205
       4.089 |        0.992 |        5.081
       1.864 |        0.964 |        2.827
       2.456 |        1.010 |        3.466
       1.843 |        1.032 |        2.874
       2.407 |        1.013 |        3.420
       2.933 |        1.000 |        3.933
       3.275 |        0.968 |        4.242
       4.130 |        0.939 |        5.070
       4.160 |        0.973 |        5.133
       4.383 |        0.932 |        5.315
       1.147 |        1.068 |        2.215
       1.192 |        1.064 |        2.255
       1.110 |        1.065 |        2.175
       1.025 |        1.240 |        2.265
       1.110 |        4.717 |        5.827
       2.970 |        1.061 |        4.031
       2.620 |        1.069 |        3.689
       1.727 |        1.048 |        2.775
       1.070 |        0.955 |        2.025
       1.664 |        0.890 |        2.554
       1.121 |        1.100 |        2.220
       1.542 |        0.895 |        2.436
       1.080 |        1.171 |        2.251
       1.523 |        0.910 |        2.433
       2.221 |        0.908 |        3.129
       1.073 |        1.077 |        2.150
       1.902 |        1.043 |        2.945
       2.551 |        1.036 |        3.587
       3.224 |        1.043 |        4.267
       3.821 |        1.013 |        4.834
       3.203 |        1.010 |        4.214
       3.959 |        0.996 |        4.955
       4.591 |        0.992 |        5.583
       2.916 |        1.075 |        3.991
       1.564 |        0.995 |        2.559
       1.982 |        1.063 |        3.045
       1.188 |        1.074 |        2.262
       1.903 |        0.918 |        2.821
       2.393 |        0.899 |        3.292
       1.264 |        0.860 |        2.125
       1.089 |        0.893 |        1.982
       1.069 |        1.204 |        2.273
       1.816 |        1.157 |        2.973
       1.086 |        1.188 |        2.274
       1.214 |        1.348 |        2.562
       1.600 |        1.258 |        2.858
       1.461 |        1.232 |        2.693
       2.317 |        1.205 |        3.522
       2.935 |        1.083 |        4.018
       2.962 |        1.045 |        4.007
       1.484 |        1.036 |        2.520
       2.387 |        1.018 |        3.405
       2.865 |        1.014 |        3.879
       1.750 |        1.033 |        2.783
       1.585 |        0.993 |        2.578
       1.147 |        1.059 |        2.206
       2.229 |        0.980 |        3.209
       1.074 |        1.114 |        2.189
       1.097 |        0.975 |        2.072
       1.833 |        0.966 |        2.799
       2.346 |        0.910 |        3.256
       3.147 |        0.941 |        4.089
       2.878 |        0.906 |        3.784
       2.317 |        0.907 |        3.224
       1.225 |        0.993 |        2.218
       1.094 |        1.029 |        2.123
       1.085 |        1.056 |        2.142
       2.058 |        1.012 |        3.071
       1.087 |        1.038 |        2.125
       1.883 |        0.995 |        2.879
       1.083 |        1.223 |        2.306
       1.328 |        0.995 |        2.323
       1.094 |        1.053 |        2.147
       2.140 |        1.058 |        3.198
       2.098 |        0.998 |        3.095
       3.112 |        1.033 |        4.144
       3.541 |        1.045 |        4.586
       2.026 |        1.015 |        3.041
       2.578 |        0.992 |        3.570
       2.746 |        1.015 |        3.760
       1.089 |        1.200 |        2.288
       1.492 |        0.989 |        2.481
       1.081 |        0.938 |        2.019
       1.095 |        1.242 |        2.337
       1.244 |        1.163 |        2.407
       1.030 |        1.359 |        2.389
       2.140 |        1.250 |        3.390
       3.115 |        1.176 |        4.290
       3.865 |        1.154 |        5.019
       4.021 |        1.268 |        5.289
       1.762 |        1.024 |        2.786
       1.083 |        1.180 |        2.264
       1.090 |        1.063 |        2.153
       1.999 |        1.014 |        3.012
       1.076 |        0.985 |        2.060
       1.081 |        1.469 |        2.550
       2.460 |        1.333 |        3.793
       1.053 |        1.465 |        2.518
       1.310 |        1.428 |        2.738
       1.484 |        1.398 |        2.882
       2.674 |        1.393 |        4.067
       2.213 |        1.414 |        3.627
       2.277 |        1.405 |        3.682
       2.026 |        0.973 |        2.999
       2.584 |        0.941 |        3.525
       2.111 |        0.920 |        3.031
       1.072 |        1.156 |        2.228
       1.071 |        1.006 |        2.077
       1.073 |        0.986 |        2.060
       1.567 |        0.984 |        2.551
       1.334 |        0.977 |        2.312
       1.038 |        1.022 |        2.060
       1.078 |        1.174 |        2.252
       1.601 |        0.959 |        2.559
       1.083 |        0.993 |        2.075
       1.078 |        1.192 |        2.270
       2.263 |        0.966 |        3.229
       1.086 |        1.170 |        2.256
       1.076 |        1.255 |        2.331
       1.884 |        1.007 |        2.892
       1.072 |        1.270 |        2.343
       2.013 |        1.244 |        3.257
       1.191 |        1.252 |        2.444
       1.096 |        1.254 |        2.350
       1.678 |        1.196 |        2.874
       1.036 |        1.307 |        2.343
       1.092 |        1.130 |        2.222
       1.086 |        1.221 |        2.308
       1.894 |        1.114 |        3.008
       1.078 |        1.089 |        2.167
       1.905 |        0.899 |        2.804
       1.086 |        0.942 |        2.028
       1.097 |        0.898 |        1.995
       1.467 |        0.807 |        2.274
       1.075 |        1.150 |        2.225
       1.072 |        1.309 |        2.381
       1.090 |        1.285 |        2.375
       2.153 |        1.199 |        3.352
       1.041 |        1.249 |        2.290
       1.117 |        1.270 |        2.387
       2.313 |        1.271 |        3.583
       1.413 |        1.262 |        2.674
       2.388 |        1.212 |        3.600
       3.421 |        1.239 |        4.660
       1.079 |        1.241 |        2.320
       1.093 |        1.049 |        2.142
       1.080 |        0.915 |        1.995
       1.053 |        1.150 |        2.204
       1.974 |        0.908 |        2.882
       1.066 |        1.094 |        2.160
       1.126 |        1.149 |        2.275
       1.070 |        0.933 |        2.003
       2.038 |        0.910 |        2.948
       1.071 |        0.961 |        2.032
       1.139 |        1.230 |        2.369
       1.066 |        1.311 |        2.377
       1.151 |        1.404 |        2.555
       2.867 |        1.305 |        4.172
       3.316 |        1.298 |        4.614
       3.433 |        1.296 |        4.729
       3.607 |        1.310 |        4.917
       4.885 |        1.198 |        6.082
       6.093 |        1.256 |        7.349
       7.272 |        1.211 |        8.483
       7.883 |        1.179 |        9.062
       7.126 |        0.927 |        8.053
       7.898 |        0.922 |        8.820
       8.320 |        0.945 |        9.265
       7.108 |        0.920 |        8.027
       5.376 |        0.903 |        6.280
       2.841 |        0.885 |        3.726
       1.068 |        0.958 |        2.025
       1.057 |        0.946 |        2.003
       1.632 |        0.902 |        2.534
       1.028 |        1.097 |        2.126
       1.100 |        0.755 |        1.856
       1.070 |        0.770 |        1.839
       1.067 |        0.797 |        1.864
       1.093 |        0.791 |        1.884
       1.040 |        0.759 |        1.800
       1.093 |        0.885 |        1.978
       1.138 |        1.258 |        2.396
       1.072 |        1.149 |        2.221
       1.058 |        0.939 |        1.997
       1.012 |        1.327 |        2.339
       1.123 |        1.295 |        2.418
       1.626 |        1.268 |        2.894
       1.267 |        1.102 |        2.369
       1.712 |        0.950 |        2.662
       1.050 |        1.011 |        2.061
       1.090 |        1.010 |        2.100
       1.768 |        0.824 |        2.592
       1.095 |        0.915 |        2.010
       1.191 |        1.517 |        2.708
       1.526 |        1.194 |        2.721
       1.007 |        1.488 |        2.496
       1.099 |        1.517 |        2.616
       1.612 |        1.453 |        3.064
       2.333 |        1.448 |        3.781
       3.455 |        1.472 |        4.927
       4.092 |        1.450 |        5.541
       3.947 |        1.446 |        5.392
       3.260 |        1.306 |        4.565
       2.235 |        0.941 |        3.176
       2.916 |        0.938 |        3.855
       1.334 |        1.142 |        2.476
       1.080 |        1.138 |        2.219
       1.730 |        0.924 |        2.654
       1.077 |        1.080 |        2.157
       1.934 |        1.060 |        2.994
       2.619 |        1.077 |        3.695
       2.728 |        1.055 |        3.783
       3.589 |        1.053 |        4.642
       1.093 |        1.057 |        2.151
       1.573 |        1.074 |        2.647
       1.025 |        1.243 |        2.268
       1.091 |        1.033 |        2.124
       1.088 |        1.073 |        2.161
       0.962 |        1.171 |        2.133
       1.767 |        1.192 |        2.959
       1.606 |        1.177 |        2.783
       2.580 |        1.176 |        3.756
       3.705 |        1.194 |        4.899
       3.148 |        1.177 |        4.325
       1.101 |        1.282 |        2.383
       1.624 |        1.201 |        2.825
       2.446 |        1.178 |        3.624
       3.383 |        1.175 |        4.558
       4.103 |        1.174 |        5.277
       3.379 |        0.890 |        4.269
       1.150 |        1.080 |        2.229
       1.742 |        0.891 |        2.633
       1.506 |        0.889 |        2.395
       2.244 |        0.884 |        3.128
       3.041 |        0.907 |        3.948
       1.959 |        0.888 |        2.847
       1.120 |        1.088 |        2.208
       1.132 |        1.030 |        2.162
       1.119 |        1.415 |        2.534
       1.891 |        1.372 |        3.263
       1.129 |        1.340 |        2.469
       2.267 |        1.338 |        3.605
       1.092 |        1.387 |        2.478
       1.524 |        1.340 |        2.863
       1.240 |        1.383 |        2.624
       2.103 |        1.001 |        3.104
       1.898 |        0.960 |        2.858
       2.481 |        0.958 |        3.438
       2.592 |        0.978 |        3.570
       1.048 |        0.985 |        2.033
       1.809 |        0.977 |        2.785
       2.410 |        0.971 |        3.382
       1.294 |        0.951 |        2.244
       1.106 |        0.780 |        1.886
       1.244 |        0.759 |        2.004
       1.123 |        0.900 |        2.023
